algorithm,data_size,sorted,run_number,cpu_time,comparisons,swaps
QuickSort,10000,sorted,4,0.390295,49995000,50004999
InsertionSort,10000,sorted,5,0.000059,9999,0
SelectionSort,10000,sorted,5,0.152503,49995000,0
QuickSort,10000,sorted,5,0.396971,49995000,50004999
InsertionSort,10000,sorted,6,0.000047,9999,0
SelectionSort,10000,sorted,6,0.152654,49995000,0
QuickSort,10000,sorted,6,0.390190,49995000,50004999
InsertionSort,10000,sorted,7,0.000059,9999,0
SelectionSort,10000,sorted,7,0.151655,49995000,0
QuickSort,10000,sorted,7,0.392025,49995000,50004999
InsertionSort,10000,sorted,8,0.000059,9999,0
SelectionSort,10000,sorted,8,0.151658,49995000,0
QuickSort,10000,sorted,8,0.388912,49995000,50004999
InsertionSort,10000,sorted,9,0.000059,9999,0
SelectionSort,10000,sorted,9,0.152056,49995000,0
QuickSort,10000,sorted,9,0.389884,49995000,50004999
InsertionSort,10000,sorted,10,0.000047,9999,0
SelectionSort,10000,sorted,10,0.152603,49995000,0
QuickSort,10000,sorted,10,0.389764,49995000,50004999
InsertionSort,100000,unsorted,1,11.147011,-1796652822,-1796752821
SelectionSort,100000,unsorted,1,15.201612,704982704,99989
QuickSort,100000,unsorted,1,0.017872,1973042,1175655
InsertionSort,100000,unsorted,2,11.142104,-1796652822,-1796752821
SelectionSort,100000,unsorted,2,15.194642,704982704,99989
QuickSort,100000,unsorted,2,0.017581,1973042,1175655
InsertionSort,100000,unsorted,3,11.132384,-1796652822,-1796752821
